100 2806
78 97 3
42 82 14
13 88 15
86 90 26
2 36 6
87 89 14
16 95 13
2 62 27
62 89 7
18 37 18
27 37 3
46 86 11
39 69 9
38 98 4
68 94 4
26 97 14
31 69 24
36 85 23
6 15 29
33 81 24
29 31 23
52 82 23
53 92 21
57 86 3
18 90 1
3 59 21
40 93 2
67 92 7
22 82 19
54 89 22
33 64 12
6 13 30
65 83 9
20 54 1
47 54 17
93 98 18
20 41 27
80 91 11
41 70 27
64 75 24
45 66 24
29 62 24
32 63 30
27 33 12
81 86 20
35 84 26
5 26 17
49 67 24
37 71 15
39 53 1
14 48 18
49 50 25
8 66 2
66 73 2
20 51 12
39 64 16
6 65 28
32 89 29
8 32 11
8 53 21
80 85 7
24 59 16
52 88 7
4 18 28
10 91 6
2 25 14
49 95 4
60 81 21
35 83 22
23 78 26
15 84 18
10 42 3
19 20 14
39 63 4
90 96 22
10 71 11
61 84 28
83 96 18
7 19 2
19 79 27
35 75 10
23 91 26
24 44 8
51 63 24
19 51 24
36 84 29
64 72 13
21 43 23
43 77 26
62 68 3
41 61 20
7 37 11
14 40 23
67 81 18
81 82 21
15 64 28
18 73 17
13 55 27
19 22 23
2 13 25
52 70 4
39 48 14
3 57 11
15 66 19
12 66 3
13 50 17
33 69 18
18 80 15
77 92 14
21 68 14
1 47 19
75 80 17
64 82 11
39 92 20
3 4 14
25 55 27
40 91 30
29 42 21
47 89 27
1 10 26
21 47 3
62 69 15
36 57 13
25 45 8
76 80 15
17 54 28
33 98 13
75 84 17
75 93 7
33 82 4
59 76 12
17 95 7
18 94 4
21 96 10
15 94 8
38 82 27
21 90 21
73 77 20
5 50 2
27 28 13
35 93 7
11 39 27
32 100 16
52 62 30
27 38 13
39 83 18
44 76 30
28 90 11
52 61 3
62 72 4
21 94 15
28 57 4
56 61 16
25 66 30
63 96 11
95 98 1
19 41 10
55 59 12
24 37 15
43 44 23
37 65 16
42 80 24
56 60 3
25 96 24
27 54 21
46 75 30
28 37 21
59 87 15
54 72 11
16 55 19
50 85 14
68 97 15
29 45 30
10 47 4
44 59 28
54 98 1
25 84 10
34 65 20
9 70 3
70 86 30
11 70 7
29 100 30
51 78 27
9 30 10
40 79 28
30 42 25
25 87 6
39 59 11
51 85 29
68 83 25
15 83 18
92 95 9
88 95 4
23 42 10
87 93 6
7 36 2
24 27 29
24 71 1
1 93 19
27 44 2
40 68 16
48 97 12
12 91 18
22 62 18
60 82 25
40 53 20
25 95 10
25 27 25
38 79 3
23 67 4
42 91 5
30 75 28
16 52 18
14 32 28
3 84 14
34 72 12
28 32 3
26 75 8
16 56 19
23 52 9
39 45 11
19 83 29
7 40 4
26 76 30
12 81 7
36 69 8
10 15 14
31 74 1
19 90 25
24 93 7
31 90 15
57 91 19
90 100 6
30 31 22
58 87 16
42 97 19
6 51 20
9 17 12
25 64 3
47 70 2
23 69 6
46 94 27
11 71 19
11 69 23
14 77 21
37 44 19
28 91 7
63 87 11
29 51 14
53 62 1
30 89 28
9 90 17
27 80 10
5 14 9
46 85 20
2 3 10
42 72 11
10 94 21
24 50 4
25 44 21
76 82 3
26 84 1
