100 99
41 30 5
64 18 30
66 92 21
30 58 11
93 21 29
27 8 17
16 26 25
95 62 3
37 90 11
44 53 5
11 67 18
5 83 19
3 13 30
12 85 19
65 80 4
62 55 1
77 11 29
45 40 28
48 94 6
87 76 20
43 81 18
14 27 2
60 37 2
29 88 26
25 49 26
49 50 30
38 45 1
84 93 21
10 25 3
33 59 29
71 54 23
59 79 24
55 73 24
74 75 11
99 39 3
52 66 3
6 42 10
1 77 20
96 46 18
35 28 5
28 82 19
85 3 7
80 9 15
4 95 28
54 35 28
81 97 26
97 5 29
15 32 22
24 98 8
57 60 30
19 48 5
32 69 9
36 15 21
53 47 24
98 68 5
8 84 14
40 0 12
91 78 16
73 1 13
100 7 30
89 10 1
69 14 6
23 61 2
79 23 22
31 19 6
90 36 30
63 34 2
26 57 4
92 6 12
39 43 16
17 24 9
7 65 19
75 91 27
9 87 17
70 56 23
50 29 1
47 89 13
56 99 15
2 4 4
0 96 20
46 52 8
61 38 28
13 22 16
82 17 1
78 12 18
94 44 21
86 70 30
21 2 16
18 16 9
76 86 15
58 63 19
68 41 22
83 51 1
20 74 15
34 20 18
88 64 17
42 100 26
67 33 15
22 31 22
